Passport,AFG,ALB,DZA,AND,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,COD,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NZL,NIC,NER,NGA,PRK,MKD,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,KNA,LCA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,VCT,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VAT,VEN,VNM,YEM,ZMB,ZWE
AZE,0,3,0,0,0,3,0,0,0,0,-1,3,0,1,3,3,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,2,0,1,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,2,3,3,0,0,0,0,1,0,1,3,0,0,0,0,3,1,0,1,1,0,0,0,0,0,1,1,1,3,1,0,0,1,1,1,0,3,3,0,0,3,0,1,0,3,0,1,0,0,1,0,0,0,3,0,1,0,1,3,0,0,0,0,0,0,0,3,0,3,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,1,1,0,0,0,3,0,1,1,3,0,0,0,0,3,3,0,0,1,0,0,1
BHS,0,3,0,3,0,3,0,1,0,3,1,-1,0,1,3,0,3,3,0,0,1,3,3,3,0,3,0,0,1,0,2,1,0,0,3,3,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,3,1,3,3,3,1,3,3,3,0,3,3,3,0,1,3,3,3,3,3,3,2,3,1,0,3,3,3,3,3,1,0,3,3,3,0,0,1,3,1,3,0,0,3,3,3,1,1,3,3,1,0,3,0,1,3,3,3,3,3,0,3,0,1,0,0,0,1,3,0,3,0,0,0,3,3,0,0,1,3,3,0,0,3,3,3,3,3,3,0,1,3,3,1,3,0,0,1,3,1,0,3,3,3,1,1,3,3,0,3,2,3,0,3,3,3,0,0,0,3,0,1,1,1,3,0,1,0,1,3,0,3,3,3,3,0,3,3,0,0,0,3,3
BHR,0,0,0,0,0,0,0,1,0,0,1,3,-1,1,0,3,0,0,0,0,1,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,3,3,3,3,3,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,3,0,1,0,3,3,3,0,0,0,3,1,0,0,0,0,0,0,3,0,1,0,3,3,3,1,0,3,1,0,0,0,0,0,1,1,1,3,1,0,0,0,1,3,0,3,0,0,0,0,3,1,0,0,0,1,0,3,3,0,0,0,0,0,3,0,1,3,0,0,0,0,3,0,0,3,0,0,1,3,0,1,0,0,3,1,3,1,0,3,0,0,0,1,0,3,0,0,2,3,0,0,0,0,3,1,1,1,3,1,1,0,0,3,3,0,1,1,0,3,0,0,0,0,3,0,0,0,1,0,1
BGD,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,3,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0
BRB,0,3,0,3,0,3,3,1,0,3,1,3,0,3,-1,3,3,3,0,0,1,3,3,3,0,3,0,0,1,0,2,1,0,0,3,3,3,1,0,0,3,2,3,3,3,3,3,1,3,3,3,0,3,3,0,3,3,1,3,3,3,1,3,3,3,0,3,3,3,0,1,3,3,3,3,3,3,2,3,1,0,3,3,3,3,3,1,0,3,3,3,0,0,1,3,1,3,0,0,3,3,3,1,1,3,3,1,0,3,1,1,3,3,3,3,3,0,3,0,1,0,0,0,1,3,0,3,0,0,0,3,3,0,0,1,3,3,0,0,3,3,3,3,1,3,0,1,3,3,1,3,0,0,1,3,1,0,3,3,3,1,1,3,3,0,3,2,3,0,3,3,3,0,0,0,3,0,1,1,1,3,3,1,0,1,3,0,1,3,0,3,0,3,3,3,0,0,3,3
BLR,0,0,0,0,0,3,3,3,0,0,3,0,0,1,3,-1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2,0,3,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,0,0,0,0,1,0,3,0,3,0,0,0,3,1,0,0,3,0,1,0,1,3,1,0,0,0,3,1,0,1,1,0,0,0,0,0,3,1,1,3,1,0,0,0,1,1,0,3,3,0,3,3,0,1,1,3,0,1,0,0,3,0,0,0,0,0,1,0,1,3,3,0,0,3,0,0,0,3,0,3,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,3,1,0,1,1,0,0,0,3,0,1,1,3,0,0,0,0,3,3,0,3,3,0,1,1
BEL,0,3,0,3,1,3,3,3,2,3,1,3,1,1,3,3,-1,3,0,0,3,3,3,3,3,3,1,0,1,0,2,3,0,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,3,1,3,3,3,1,3,3,3,0,3,3,3,0,1,3,3,3,3,3,3,2,3,1,0,3,3,3,3,3,1,3,1,3,3,1,3,1,3,1,3,0,0,3,3,3,3,1,1,3,1,0,3,3,1,3,3,3,3,3,0,3,3,1,1,3,0,1,3,3,3,0,0,0,3,3,1,0,3,3,3,1,3,3,3,3,3,3,3,0,1,3,3,3,3,3,0,3,3,1,0,3,3,3,3,1,3,3,0,3,2,3,0,1,3,3,0,3,1,1,3,3,1,3,3,3,1,0,3,1,3,3,3,2,3,3,3,3,3,1,0,1,1
BLZ,0,0,0,0,0,3,0,1,0,0,0,3,0,1,3,0,0,-1,0,0,1,0,3,3,0,0,0,0,1,0,0,1,0,0,3,0,3,1,0,0,3,2,0,1,0,0,0,1,3,3,3,0,3,0,0,0,3,1,3,0,0,1,3,3,0,0,0,3,3,0,1,3,3,3,3,0,0,2,3,1,0,3,3,0,3,0,0,0,3,3,3,0,0,1,0,1,3,0,0,0,0,0,1,1,3,3,1,0,0,1,1,3,3,3,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,3,3,0,0,3,3,0,0,1,0,0,1,3,3,1,0,0,0,0,0,1,0,3,0,0,1,1,3,0,0,0,2,3,0,3,0,0,0,3,0,3,0,1,1,0,3,0,3,0,1,3,0,0,3,0,3,0,3,0,3,0,0,3,3
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,0,0,0,0,0,3,0,1,0,0,3,3,1,0,0,0,1,1,0,0,3,0,1,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,3,0,0,3,0,0,0,3,3,0,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,1,1,1,3,1,3,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,3,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,3,0,1,1,0,0,0,3,0,1,3,3,0,0,0,1,3,0,0,0,2,3,0,0,0,0,0,0,0,1,0,1,3,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,2,0,1,0,0,0,1,3,0,3,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,3,0,3,0,0,3,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,3,0,0,0,3,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
BOL,0,0,0,0,0,0,3,1,0,0,1,3,1,1,0,0,0,3,0,0,-1,0,0,3,0,0,0,0,1,0,0,1,0,0,3,0,3,1,0,0,3,2,0,1,0,0,0,1,3,3,3,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,3,0,3,0,0,2,3,3,0,3,0,0,3,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,3,1,0,0,0,1,1,0,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,3,3,0,3,3,3,0,0,3,0,3,1,3,1,1,0,0,0,0,3,1,0,3,0,0,0,1,3,0,0,0,2,3,0,1,0,0,0,0,0,1,0,1,1,0,0,0,3,0,1,1,0,0,0,0,3,0,0,0,3,0,0,1,0
BIH,0,3,0,3,0,0,0,1,0,3,1,3,0,1,0,3,3,0,0,0,1,-1,0,3,0,3,0,0,1,0,0,1,0,0,3,3,3,1,0,0,0,2,3,3,3,3,3,1,3,3,3,0,0,0,0,3,3,1,0,3,3,1,3,3,3,0,3,0,0,0,1,0,3,0,3,3,3,2,3,1,0,0,0,3,1,0,1,0,1,0,0,0,3,1,3,0,1,0,0,3,3,3,3,1,1,3,1,0,3,0,1,1,0,3,3,3,0,3,0,1,1,0,0,1,3,0,0,0,0,0,3,3,1,0,1,3,3,0,0,0,0,3,3,1,3,3,1,0,3,1,3,0,0,0,3,1,0,3,3,3,0,1,0,3,0,3,2,3,0,0,3,3,0,0,0,1,0,1,1,0,3,3,3,0,1,1,3,0,0,0,0,3,0,3,0,1,0,1,1
BWA,0,0,0,0,3,3,0,0,0,0,0,3,0,3,3,0,0,3,3,0,1,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,3,3,3,0,0,0,0,0,3,1,3,0,0,1,3,3,0,1,0,3,0,0,1,3,3,0,3,0,0,2,3,1,0,3,3,0,3,0,0,0,3,0,3,0,0,1,0,0,3,0,0,0,0,0,1,1,3,3,1,0,0,0,1,3,0,3,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,3,0,0,1,0,0,1,3,3,1,0,0,0,3,0,1,0,3,0,0,0,1,3,0,1,0,2,3,0,0,0,0,0,0,0,3,0,1,1,0,3,0,0,0,1,1,0,0,3,0,0,0,3,0,0,0,0,3,3
BRA,0,3,0,3,1,3,3,3,0,3,1,3,1,0,3,3,3,3,0,0,3,3,3,-1,0,3,1,0,1,0,0,1,0,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,3,1,3,3,3,1,0,3,3,0,3,3,3,0,1,3,3,3,3,3,3,2,3,1,0,3,3,3,3,0,1,3,1,0,3,0,1,1,3,1,1,0,0,3,3,3,3,1,1,3,1,0,3,1,1,3,3,3,3,3,3,3,3,1,1,3,0,1,3,3,3,0,0,0,3,3,1,0,1,3,3,1,3,3,3,3,3,3,3,3,1,3,3,1,3,3,0,3,3,1,0,3,3,3,1,1,3,3,0,3,2,3,0,3,3,3,0,0,1,1,3,1,1,1,3,3,3,0,1,1,3,3,3,0,3,3,3,3,3,1,0,1,1
BRN,0,3,0,3,0,3,0,1,2,3,1,3,1,1,3,0,3,3,0,0,1,3,3,0,-1,3,0,0,3,0,2,1,0,0,0,3,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,3,1,3,3,3,1,3,3,3,0,3,3,3,0,1,0,3,3,3,3,3,2,3,1,0,3,0,3,3,3,1,0,3,0,3,1,3,3,3,0,3,0,0,3,3,3,3,1,1,3,1,0,3,1,1,3,0,3,3,3,0,3,0,1,3,0,0,1,3,3,3,0,0,0,3,3,1,0,1,3,3,1,0,3,3,3,3,3,3,3,1,3,3,1,3,0,0,1,0,1,0,3,3,3,1,1,0,3,0,3,2,3,0,0,3,3,0,3,1,3,3,1,1,1,3,3,3,0,1,1,3,3,3,2,0,3,3,3,0,3,0,1,1
BGR,0,3,0,3,1,3,3,3,2,3,1,3,1,1,3,3,3,3,0,0,1,3,3,3,3,-1,0,0,1,0,2,3,0,0,3,0,3,1,0,0,3,2,3,1,3,3,3,1,3,3,3,1,3,0,0,3,0,1,3,3,3,1,3,3,3,0,3,3,3,0,1,0,3,3,3,3,3,2,3,1,0,3,3,3,1,3,1,3,1,3,3,1,1,1,3,1,1,0,0,3,3,3,3,1,1,3,1,0,3,3,1,3,3,3,3,3,0,3,3,1,1,0,0,1,3,3,3,0,0,0,3,3,1,0,3,3,3,1,3,3,3,3,3,3,3,0,1,3,3,3,3,3,0,3,3,1,0,3,3,3,3,1,0,3,0,3,2,3,0,0,3,3,0,3,1,1,1,3,1,3,3,3,3,0,3,1,3,3,3,0,3,3,3,3,3,1,0,1,1
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,-1,0,1,0,0,3,3,3,0,0,0,1,1,0,0,3,0,1,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,3,0,0,3,0,0,0,3,3,0,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,1,1,0,0,1,3,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,3,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,1,1,0,0,0,3,0,1,3,3,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,1,0,1,3,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,-1,1,0,0,1,3,0,0,0,0,1,0,3,0,2,0,1,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,3,0,1,1,0,0,0,3,3,1,0,3,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1
KHM,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,3,0,3,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,0,1,1,1,3,1,0,0,1,1,1,0,3,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,3,0,0,0,3,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,-1,0,1,3,3,0,0,0,1,3,0,0,2,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,1,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,3,0,0,1,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,1,1,0,0,0,3,0,1,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0
