Passport,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,3,0,0,0,2,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,3,0,3,2,0,0,0,2,3,2,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,2,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,3,0,0,2,0,0,2,0,0,0,2,0,3,0,0,3,2,0,0,0,0,0
BGR,0,2,3,3,3,3,3,3,1,3,2,0,3,0,0,2,-1,2,3,3,3,3,2,3,3,3,0,3,0,1,3,3,0,1,0,0,0,3,2,3,3,2,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,2,3,3,0,2,3,2,0,3,3,3,0,3,3,3,3,3,3,1,3,2,0,3,3,3,2,2,3,3,2,2,2,3,3,3,2,2,2,0,0,3,3,1,2,3,3,3,3,3,3,3,2,2,3,3,3,0,3,2,3,0,2,2,3,2,3,2,0,2,3,3,3,2,0,1,2,0,3,3,3,3,2,3,0,3,3,3,3,3,0,2,2,0,3,3,3,2,3,3,2,3,0,3,2,3,3,3,0,2,0,0,2,2,2,0,3,3,3,3,3,3,3,2,2,3,3,0,3,3,3,3,2,3,3,3,0,0,2,2
BHR,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,2,0,-1,3,3,3,0,2,0,3,2,0,3,0,0,0,0,0,1,0,0,0,0,2,2,0,2,0,0,0,2,3,0,3,0,3,3,0,0,0,2,0,0,0,3,2,0,3,0,2,0,2,0,0,0,3,0,3,3,0,3,0,3,0,0,2,0,0,0,0,0,3,0,3,2,3,2,0,3,3,3,2,3,0,0,0,0,1,2,0,0,0,2,3,0,0,2,2,0,0,0,0,0,0,0,0,2,2,3,2,3,0,0,2,3,0,0,2,0,1,3,2,0,0,3,2,0,0,0,0,0,3,3,0,0,2,3,0,2,3,0,2,3,0,2,3,0,0,2,0,0,0,0,2,3,0,2,3,2,0,2,0,0,3,2,2,2,2,2,0,0,0,2,0,3,0,0,3,2,3,2,0,0,2
BHS,0,0,3,3,3,0,2,3,0,3,2,0,3,0,0,2,3,0,-1,3,0,3,2,3,3,0,0,3,0,1,3,3,3,1,0,0,0,3,2,2,3,2,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,2,3,3,0,2,3,2,0,3,3,3,3,3,3,3,3,3,3,1,3,2,0,3,3,3,3,2,3,0,3,0,2,3,3,3,0,2,2,0,0,3,3,1,3,3,3,3,2,0,3,3,2,2,3,0,3,0,3,0,3,0,2,2,3,3,3,0,0,2,3,3,3,2,0,0,0,2,3,3,3,2,0,3,0,3,0,3,3,3,0,2,0,0,2,3,2,2,3,3,2,3,0,0,3,3,3,3,3,2,0,0,2,0,0,0,2,2,3,0,2,2,0,3,3,0,3,3,2,3,3,0,0,3,2,3,0,3,3,3
BIH,0,0,3,3,0,0,2,0,0,3,2,0,3,0,0,2,3,0,3,-1,3,0,2,3,0,0,0,0,0,0,3,3,3,1,0,0,0,3,2,2,0,3,3,3,3,2,3,3,3,0,3,0,0,3,3,2,3,0,3,3,2,0,3,0,2,3,2,0,3,0,0,0,3,0,3,3,3,3,1,0,2,0,3,0,3,2,2,0,0,2,3,2,0,0,3,0,2,0,0,0,3,3,1,2,3,3,3,3,0,3,3,2,2,0,0,3,0,3,2,3,0,2,2,2,2,3,0,0,2,0,3,3,2,0,0,2,0,3,0,0,2,0,3,0,3,0,3,2,3,3,2,0,0,2,3,0,0,0,3,2,3,0,0,2,3,3,3,3,2,0,0,2,0,0,0,2,0,3,3,3,2,0,2,2,3,0,0,3,3,3,0,2,0,2,0,0,0,2,2
BLR,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,2,0,0,0,0,-1,0,2,3,3,0,0,0,0,0,0,0,3,1,0,0,0,0,2,2,0,3,0,0,0,2,3,0,0,0,3,0,0,0,0,2,0,0,0,3,2,0,3,0,2,3,2,0,0,0,0,0,3,0,0,3,0,3,1,0,2,0,0,3,0,2,2,0,3,2,3,2,0,3,0,0,2,2,0,0,0,0,1,2,0,0,0,3,0,0,3,2,2,0,0,0,0,0,2,3,3,2,2,2,2,3,3,0,2,3,0,0,2,0,0,2,0,3,3,0,2,0,0,0,0,0,3,3,0,3,2,0,0,2,0,0,2,0,0,2,3,0,0,2,0,0,0,0,2,0,0,2,0,3,0,2,0,0,0,3,2,0,2,2,3,0,0,3,0,3,3,3,3,2,0,0,0,2,2
BLZ,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,3,0,0,-1,2,3,3,0,0,3,0,0,0,3,0,1,0,0,0,3,2,2,3,2,0,0,0,2,3,0,3,0,3,0,0,0,0,2,0,3,0,3,2,3,3,0,2,3,2,0,0,3,3,3,3,3,0,3,0,3,1,3,2,0,0,3,0,3,0,0,0,3,0,2,3,3,0,0,2,2,0,0,3,0,1,3,0,0,0,2,0,0,0,2,2,3,2,0,0,0,0,0,0,2,2,3,3,3,0,0,2,3,0,0,2,0,0,0,0,3,3,3,2,0,0,0,0,0,3,2,0,0,2,0,0,2,3,2,2,3,0,2,0,0,0,3,0,0,0,3,2,0,0,2,0,0,0,2,0,3,0,3,2,3,3,3,0,3,0,2,0,3,3,0,3,2,3,0,3,3,3
BOL,0,0,0,0,0,3,2,3,0,0,2,0,0,0,0,2,0,2,3,0,0,3,-1,3,0,0,0,0,0,0,0,3,0,1,0,0,0,3,2,2,3,2,0,0,0,2,3,0,3,0,3,2,0,0,0,2,0,0,0,3,2,0,0,0,2,3,2,0,0,0,0,2,3,0,0,3,0,3,1,3,3,0,0,0,0,3,2,0,0,2,0,2,0,3,0,0,2,0,0,0,2,0,1,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,2,2,2,2,3,0,0,2,2,0,0,2,0,0,2,0,3,3,3,2,0,0,0,0,3,3,3,0,3,2,0,0,2,3,0,2,0,0,2,3,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,3,2,0,2,2,0,3,0,2,0,3,3,0,0,2,0,0,3,2,0
BRA,0,2,3,3,3,3,3,3,0,3,2,0,3,0,2,0,3,2,3,3,3,3,3,-1,3,0,0,3,0,0,3,3,0,1,0,0,0,3,2,2,3,2,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,2,3,3,0,2,0,2,0,3,3,3,3,3,3,3,3,3,3,1,3,2,0,3,3,3,3,2,0,3,2,3,2,0,3,3,0,2,2,0,0,3,3,1,2,3,3,3,3,3,3,3,2,2,3,2,3,0,3,2,3,3,2,2,3,2,3,3,0,2,3,3,3,2,0,1,2,0,3,3,3,2,2,3,0,3,3,3,3,3,3,2,0,0,2,3,2,2,3,3,2,3,0,3,3,3,3,3,3,2,0,0,2,3,2,0,2,2,3,3,3,2,0,2,2,3,3,0,3,3,3,3,2,3,2,3,0,3,2,2
BRB,0,0,3,3,3,3,2,3,0,3,2,0,3,0,0,3,3,0,3,3,3,3,2,3,-1,0,0,3,0,1,3,3,3,1,0,0,0,3,2,2,3,3,3,3,3,2,3,3,3,0,3,0,0,3,3,2,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,2,0,3,3,3,3,2,3,0,3,0,2,3,3,3,0,2,2,0,0,3,3,1,3,3,3,3,2,0,3,3,2,2,3,2,3,0,3,0,3,0,2,2,3,3,3,0,0,2,3,3,3,2,0,0,0,2,3,3,3,2,0,3,0,3,0,3,2,3,0,2,0,0,2,3,2,2,3,3,2,3,0,0,3,3,3,3,3,2,0,0,2,0,0,0,2,2,3,3,2,2,0,3,3,0,3,0,2,3,3,3,0,3,2,3,0,3,3,3
BRN,0,0,3,3,3,0,2,3,1,3,2,0,3,0,0,2,3,2,3,3,0,3,2,0,3,-1,0,3,0,1,3,0,3,1,0,0,0,3,2,2,3,2,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,2,3,3,0,2,3,2,0,3,3,3,0,3,3,3,3,3,3,1,3,2,0,3,0,3,3,2,3,0,3,3,3,0,3,3,2,3,0,0,0,3,3,1,3,3,3,3,3,0,3,3,2,2,0,2,3,0,3,3,3,0,2,2,3,2,3,0,0,2,3,3,3,2,0,1,2,2,3,3,3,2,2,3,0,3,0,3,3,3,3,2,2,0,2,3,2,2,3,3,2,0,0,0,2,3,3,3,3,2,0,0,2,3,2,0,2,2,3,3,3,2,3,3,2,3,0,1,3,3,3,0,3,3,2,3,0,0,2,2
BTN,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,3,2,2,0,2,0,0,0,2,3,0,0,0,3,2,0,0,0,2,0,0,0,3,2,0,0,0,2,3,2,0,0,0,0,0,3,0,0,3,0,3,3,0,2,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,2,2,0,0,2,0,1,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,3,0,3,2,0,0,0,0,0,3,2,0,0,2,0,0,2,3,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,3,0,0,0,2,0,0,0,2,2
BWA,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,3,2,0,3,0,0,-1,0,0,0,0,0,1,0,0,0,0,2,2,0,2,0,0,0,2,3,0,3,0,3,0,0,0,0,2,0,3,0,3,2,3,3,2,2,3,2,0,0,3,0,3,3,0,0,3,0,3,1,3,2,0,0,3,0,3,0,0,0,3,0,2,0,3,3,0,2,0,0,0,3,0,1,3,0,0,0,2,0,0,0,2,2,0,0,3,0,0,0,0,0,3,2,3,3,3,3,0,2,0,0,0,2,0,0,0,2,3,0,3,2,0,0,0,0,0,0,2,0,3,2,0,0,2,3,0,2,0,0,2,0,2,0,2,0,0,0,3,2,0,0,2,0,0,0,2,0,3,0,0,2,0,3,2,0,0,0,0,0,3,0,0,3,2,3,0,3,3,3
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,2,0,0,0,0,0,-1,0,0,0,0,3,3,0,3,0,2,2,0,2,0,0,0,2,3,0,0,0,3,0,0,0,0,2,0,0,0,3,2,0,0,2,2,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,3,2,0,0,3,0,0,3,3,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,3,2,0,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
CAN,0,2,3,3,3,3,2,3,1,3,2,0,3,0,2,2,3,2,3,3,3,3,3,3,3,3,0,3,0,-1,3,3,0,1,0,0,0,3,2,2,3,2,3,3,3,2,3,3,3,0,3,2,0,3,3,2,3,3,3,3,2,3,3,0,2,3,2,0,3,3,3,3,3,3,3,3,3,3,1,3,0,0,3,3,3,3,2,3,3,2,3,2,3,3,3,2,2,2,0,0,3,3,1,3,3,3,3,3,3,3,3,2,2,3,2,3,0,3,2,3,3,2,2,3,2,3,3,0,2,3,3,3,2,0,1,2,0,3,3,3,2,2,3,0,3,2,3,3,3,0,2,2,0,3,3,2,2,3,3,2,3,0,3,2,3,3,3,3,2,0,0,2,3,2,0,2,2,3,3,2,2,3,2,2,3,3,3,3,3,3,0,2,3,2,3,0,3,2,2
